Company/Brand,Sector,Stage,HeadQuarter,What it does,Amount($),Year
Wakefit,Manufacturing,Undisclosed,Bangalore,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,9490000.0,2018
Hero Electric,Manufacturing,Undisclosed,New Delhi,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",23360000.0,2018
Pentation Analytics,Information Services,Seed,Mumbai,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,121793941.14254577,2018
PerkFinance,Consumer Lending,Seed,Bangalore,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,900000.0,2018
Roposo,Internet,Series C,Gurgaon,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,10000000.0,2018
Plum Goodness,Beauty,Series A,Thane,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,121793941.14254577,2018
Drstore,Hospital,Seed,Mumbai,Drstore is a exclusive e- commerce platform.,121793941.14254577,2018
Wow Venue,Events,Undisclosed,Mumbai,Wow Venue is an online platform.,1500000.0,2018
Chizel,3D Printing,Seed,Pune,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,121793941.14254577,2018
OTO Capital,Automotive,Seed,Mumbai,OTO Capital is a platform that allows you to own a car faster than ever.,730000.0,2018
Boodmo,Automotive,Seed,Gurgaon,boodmo.com - large online marketplace for auto parts in India.,1022000.0,2018
Khabri,Apps,Seed,Haryana,Khabri is a digital audio platform for content in vernacular.,121793941.14254577,2018
MyNewCar.in,Automotive,Undisclosed,Gurgaon,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,1000000.0,2018
HalaPlay Technologies,Digital Entertainment,Series A,Bangalore,A daily fantasy sports platform.,5000000.0,2018
PlanetSpark,E-Learning,Seed,Gurgaon,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,233600.0,2018
WheelsEMI,Undisclosed,Series B,Pune,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",14000000.0,2018
Forum for Innovation Incubation Research and Entrepreneurship,Funding Platform,Grant,Margão,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",1496500.0,2018
OYO,Hospitality,Series E,Gurgaon,OYO is an Indian hospitality startup that operates a network of budget hotels.,100000000.0,2018
Quikr,Classifieds,Debt,Bangalore,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",8030000.0,2018
Tabono,Sports,Seed,Gurgaon,Tabono is a one stop environment for all your fitness solution.,121793941.14254577,2018
LearnApp,Banking,Seed,Noida,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",292000.0,2018
Shopkirana,E-Commerce,Undisclosed,Indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2000000.0,2018
Articbot,AI,Grant,Kannur,Articbot is a conversational AI platform for automated customer support and lead generation,17520.0,2018
BuildSupply,Enterprise Resource Planning (ERP),Series A,Gurgaon,India’s most advanced ERP system for the real estate,3650000.0,2018
Fusion Microfinance,Banking,Series E,New Delhi,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,75920000.0,2018
Any time Doctor,Software,Angel,Chennai,Anytime Doctor is a Software company.,121793941.14254577,2018
Go Payments,Information Services,Corporate Round,Mumbai,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,121793941.14254577,2018
Guiddoo World,Audio,Seed,Mumbai,We build In-Destination Experiences!,800000.0,2018
ION Energy,Energy,Undisclosed,Mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,1041000.0,2018
UnoTag,AI,Pre-seed,Bangalore,SaaS to verify counterfeit,100000.0,2018
CivilCops,Government,Pre-seed,Gurgaon,Gov-Tech,100000.0,2018
Rockmetric,IT,Grant,Mumbai,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",121793941.14254577,2018
Classworks India,Education,Undisclosed,Chennai,"Saas, Web App, Mobile App, School Education",1460.0,2018
Snapmint,Consumer Lending,Seed,Mumbai,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",121793941.14254577,2018
artbandhu,Digital Media,Pre-seed,Bangalore,Ai platform for Art and Creative Community,15000.0,2018
Survaider,Business Intelligence,Seed,Bengaluru,Stethoscope for customer feedback !,500000.0,2018
Credy,Credit,Seed,Bengaluru,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,1400000.0,2018
iChamp,E-Learning,Seed,Gurgaon,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,5000000.0,2018
Qandle,Software,Seed,Gurgaon,A cloud-based HR management and employee engagement platform.,1200000.0,2018
Avishkaar Box,Children,Seed,Delhi,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",730000.0,2018
Gegadyne Energy,Automotive,Angel,Mumbai,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,121793941.14254577,2018
HyperXchange,E-Commerce,Series A,Pune,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,1000000.0,2018
Doodhwala,Food Delivery,Seed,Bengaluru,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,2200000.0,2018
DronaHQ,Mobile,Angel,Mumbai,DronaHQ is an enterprise mobile engagement platform.,500000.0,2018
FastFox,Rental,Series A,Gurgaon,FastFox: Market Network for Home Rentals (India),1460000.0,2018
BuyForexOnline,Travel,Undisclosed,Bangalore,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,2000000.0,2018
Colive.in,Consumer,Seed,Bangalore,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,1800000.0,2018
Agricxlab Private Limited,B2B,Seed,Thane,Online marketplace where farmers and traders can sell their produce to B2B buyers,500000.0,2018
Fincash.com,Wealth Management,Seed,Mumbai,A startup in the personal finance space in India .,150000.0,2018
Pandorum Technologies,Biotechnology,Series A,Bengaluru,Bengaluru based biotech startup.,3600000.0,2018
Shirsa Labs,Education,Seed,Mumbai,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,500000.0,2018
PetSutra,Veterinary,Seed,Gurgaon,Gurugram-based Online petcare platform.,138700.0,2018
Awaaz De,Internet,Angel,Ahmedabad,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,121793941.14254577,2018
PinkBlue,Health Care,Seed,Bangalore,PinkBlue.in - Super-efficient supply-chain for clinical supplies,300000.0,2018
Eduvanz,Finance,Angel,Mumbai,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",500000.0,2018
Rupeek,Financial Services,Series A,Bangalore,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,6830000.0,2018
Backpacker Panda Holidays Private Limited,Tourism,Series A,Pune,Backpacker Panda is creating an ecosystem for youth accommodation and travel.,1400000.0,2018
Shape (School Health and Physical Education),Education,Seed,Pune,Physical education start up,200000.0,2018
Placio,Hospitality,Seed,Noida,Placio is a student housing and a complete broker-free platform.,2000000.0,2018
Aviom India Housing Finance,Finance,Series A,New Delhi,Delhi based housing finance company.,2190000.0,2018
GenRobotic,Market Research,Seed,Trivandrum,A Robotic Company.,121793941.14254577,2018
HeyHolidays,Tourism,Seed,Bangalore,"HeyHolidays, a global player in online vacation rentals.",1000000.0,2018
Pratilipi,Digital Media,Series A,Bengaluru,Amazon's Kindle Direct Publishing for Indian Languages,4300000.0,2018
SectorQube,Consumer Electronics,Seed,Ernakulam,SectorQube develops smart kitchen devices that make food automatically.,121793941.14254577,2018
Food Memories,Food & Beverages,Seed,Ahmedabad,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,121793941.14254577,2018
ZAMROO,Internet,Seed,India,Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,121793941.14254577,2018
Silversparro Technologies Pvt. Ltd,Analytics,Seed,Gurgaon,Silversparro is a deep learning technology solution provider.,300000.0,2018
Creator’s Gurukul,Facilities Support Services,Angel,Gurgaon,A coworking space provider.,121793941.14254577,2018
Emflux Motors,Automotive,Seed,Bengaluru,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,364846.0,2018
Tricog Health Services Pvt Ltd,Health Care,Series A,Bangalore,Predictive Healthcare Analytics Company,4000000.0,2018
Scapic,Cloud Computing,Seed,Bangalore,Virtual/Augmented Reality Start Up .,500000.0,2018
6Degree,Fashion,Seed,Mumbai,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,400000.0,2018
Chrysalis (EZ Vidya),Education,Seed,Chennai,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,121793941.14254577,2018
Ekincare,Medical,Series A,Hyderabad,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,1500000.0,2018
Streo,Music Streaming,Seed,Gurgaon,"Live stream music from nightclubs, bars & festivals!",121793941.14254577,2018
Groww,Finance,Seed,Kormangala,Groww offers a new way of investing money.,120000.0,2018
Cell Propulsion,Undisclosed,Seed,Bangalore,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,102200.0,2018
Chezuba,Internet,Angel,Hyderabad,Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,20440.0,2018
Ontrack Technologies Pvt. Ltd,Retail,Seed,Bangalore,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,121793941.14254577,2018
Wealthtrust,Finance,Seed,Mumbai,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,500000.0,2018
Faclon Labs,Cloud Computing,Seed,Mumbai,Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,121793941.14254577,2018
Awign Enterprises,Business Development,Seed,Bangalore,Operations and manpower outsourcing startup,730000.0,2018
CollPoll,Education,Seed,Bangalore,World-class Enterprise System for Education.,121793941.14254577,2018
Zyla Health,Health Care,Seed,New Delhi,Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,121793941.14254577,2018
Hubhopper,Internet,Series A,Delhi,Get your daily dose of interest as summaries from news and magazine stories .,500000.0,2018
Rubix108 Technologies,IT,Seed,Pune,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,1000000.0,2018
Workflexi,Human Resources,Seed,Bangalore,"Be Smart, Work on Contract,Be Smart, Hire on Contract",146000.0,2018
Streak,Financial Services,Seed,Bangalore,Algorithmic trading platform.,328500.0,2018
Kuants,Financial Services,Seed,Gurgaon,Algorithmic trading platform.,73000.0,2018
NiYO Solutions,Finance,Series A,Bangalore,NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,13200000.0,2018
Hippo Video,Customer Service,Seed,Chennai,A video recording and sharing software.,121793941.14254577,2018
Satvacart,E-Commerce,Seed,Gurgaon,Satvacart is a Gurgaon’s largest online supermarket,121793941.14254577,2018
Daaki,Health Care,Angel,Bangalore,Sports Nutrition startup,121793941.14254577,2018
Simulanis,Training,Seed,New Delhi,A Delhi-based Augmented Reality and Virtual Reality technology development company.,500000.0,2018
MY CHIRAAG CAB,Travel,Seed,Jaipur,MY CHIRAAG CAB SERVICES PVT LTD,1000000.0,2018
WOTU,Food & Beverages,Seed,Bangalore,It operates a business-to-business e-commerce portal for food and beverages.,121793941.14254577,2018
Flathalt,Undisclosed,Angel,Gurgaon,FInd your Customized Home here.,50000.0,2018
True Elements,Dietary Supplements,Seed,Pune,True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.,730000.0,2018
Trendlyne Technologies,Financial Services,Seed,Bangalore,Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors.,200000.0,2018
